暴击联盟,6.3,10,3.7,多游,11
八向箭头,6.3,12,5.7,多游,11
别吃鸡,5.67,12,6.33,多游,11
功夫鸡,5.67,12,6.33,多游,11
疯狂的拍打,6.3,10,3.7,多游,11
疯狂水果城,6.3,10,3.7,多游,11
特工使命,5.04,12,6.96,多游,11
醉天下,6.3,12,5.7,多游,11
水果联盟,6.3,12,5.7,多游,11
欢乐水果,6.3,14,7.7,多游,11
水果武士,6.3,12,5.7,多游,11
西游战记,5.04,10,4.96,多游,11
疯狂水果,6.3,14,3.7,多游,11
欢乐消水果,6.3,12,3.7,多游,11
奇奇乐捕鱼,3.15,12,6.85,多游,11
6677捕鱼,3.78,10,6.22,多游,11
捕鱼来了街机版,3.78,12,8.22,多游,11
大富翁电玩捕鱼,5.04,12,6.96,多游,11
梦幻千炮捕鱼,3.78,10,6.22,多游,11
全民捕鱼电玩城,5.04,12,6.96,多游,11
红心斗地主,5.04,10,4.96,多游,11
聚乐斗地主或美女斗地主,3.78,12,8.22,多游,11
爱玩斗地主,6.3,30,3.7,多游,11
触玩斗地主,5.04,12,6.96,多游,11
幻想小勇士,6.3,12,3.7,多游,11
小猪酷跑,5.04,10,4.96,多游,11
暴击联盟,8,10,2,聚享游,10
梦幻水果,8,10,2,聚享游,10
八向箭头,8,12,2,聚享游,10
功夫鸡,7,12,3,聚享游,10
疯狂的拍打,8,10,2,聚享游,10
疯狂水果城,8,10,2,聚享游,10
特工使命,7,12,5,聚享游,10
水果盛宴大狂欢,6,12,6,聚享游,10
醉天下,8,12,4,聚享游,10
水果联盟,8,12,4,聚享游,10
欢乐水果,8,14,6,聚享游,10
勇者阿信,7,12,5,聚享游,10
水果武士,10,12,2,聚享游,10
西游战记,6,10,4,聚享游,10
疯狂水果,8,14,6,聚享游,10
欢乐消水果,8,12,4,聚享游,10
奇奇乐捕鱼,3,12,9,聚享游,10
天天捕鱼电玩版,11,10,0,聚享游,10
聚乐斗地主或美女斗地主,4,12,8,聚享游,10
爱玩斗地主,8,30,22,聚享游,10
麻小宝,6,12,6,聚享游,10
幻想小勇士,8,12,4,聚享游,10
小猪酷跑,11,10,0,聚享游,10
暴击联盟,8,10,2,爱变现,9
梦幻水果,8,10,2,爱变现,9
别吃鸡,7,12,5,爱变现,9
疯狂的拍打,8,10,2,爱变现,9
疯狂水果城,8,10,2,爱变现,9
水果盛宴大狂欢,6,12,6,爱变现,9
醉天下,8,12,4,爱变现,9
水果联盟,8,12,4,爱变现,9
欢乐水果,10,14,4,爱变现,9
勇者阿信,8,12,4,爱变现,9
水果武士,10,12,2,爱变现,9
疯狂水果,10,14,4,爱变现,9
欢乐消水果,8,12,4,爱变现,9
奇奇乐捕鱼,3,12,9,爱变现,9
6677捕鱼,4,10,6,爱变现,9
天天捕鱼电玩版,6,10,4,爱变现,9
红心斗地主,8,10,2,爱变现,9
聚乐斗地主或美女斗地主,4,12,8,爱变现,9
触玩斗地主,6,12,6,爱变现,9
暴击联盟,7.65,10,2.35,享玩,6
梦幻水果,7.65,10,2.35,享玩,6
八向箭头,7.65,12,4.35,享玩,6
别吃鸡,6.88,12,5.12,享玩,6
功夫鸡,6.88,12,5.12,享玩,6
疯狂的拍打,7.65,10,2.35,享玩,6
疯狂水果城,7.65,10,2.35,享玩,6
特工使命,6.12,12,5.88,享玩,6
水果盛宴大狂欢,6.12,12,5.88,享玩,6
醉天下,7.65,12,4.35,享玩,6
水果联盟,7.65,12,4.35,享玩,6
欢乐水果,7.65,14,6.35,享玩,6
勇者阿信,7.65,12,4.35,享玩,6
水果武士,7.65,12,4.35,享玩,6
西游战记,6.12,10,5.88,享玩,6
疯狂水果,6.29,14,7.71,享玩,6
欢乐消水果,7.65,12,4.35,享玩,6
梦幻千炮捕鱼,4.59,10,5.01,享玩,6
天天捕鱼电玩版,6.12,10,3.88,享玩,6
红心斗地主,6.11,10,3.89,享玩,6
聚乐斗地主或美女斗地主,4.59,12,5.01,享玩,6
爱玩斗地主,7.65,30,22.35,享玩,6
触玩斗地主,6.11,12,5.89,享玩,6
麻小宝,6.12,12,5.88,享玩,6
幻想小勇士,7.65,12,4.35,享玩,6
小猪酷跑,6.12,10,3.88,享玩,6
