用户id,游戏1,平台1,游戏2,平台2,游戏3,平台3,游戏4,平台4,游戏5,平台5,游戏6,平台6,游戏7,平台7,游戏8,平台8
181,水果盛宴大狂欢,爱变现,小猪酷跑,聚享游,勇者阿信,享玩,暴击联盟,多游
182,6677捕鱼,爱变现,疯狂的拍打,聚享游,水果武士,享玩,爱玩斗地主,多游
183,疯狂水果城,爱变现,梦幻水果,聚享游,欢乐消水果,多游,暴击联盟,享玩
184,疯狂水果城,爱变现,欢乐水果,聚享游,梦幻千炮捕鱼,享玩,西游战记,多游
185,醉天下,爱变现,奇奇乐捕鱼,聚享游,疯狂水果城,享玩,聚乐斗地主或美女斗地主,多游
186,别吃鸡,爱变现,功夫鸡,聚享游,欢乐消水果,享玩,幻想小勇士,多游
187,欢乐消水果,爱变现,梦幻水果,聚享游,水果武士,享玩,功夫鸡,多游
188,聚乐斗地主或美女斗地主,爱变现,爱玩斗地主,聚享游,触玩斗地主,享玩,醉天下,多游
189,梦幻水果,爱变现,暴击联盟,聚享游,特工使命,享玩,水果联盟,多游
190,水果武士,爱变现,梦幻水果,聚享游,别吃鸡,享玩,暴击联盟,多游
191,触玩斗地主,爱变现,水果武士,聚享游,疯狂水果,享玩,醉天下,多游
192,暴击联盟,爱变现,水果盛宴大狂欢,聚享游,触玩斗地主,享玩,西游战记,多游
193,别吃鸡,爱变现,暴击联盟,聚享游,触玩斗地主,多游,疯狂的拍打,享玩
194,疯狂水果,爱变现,聚乐斗地主或美女斗地主,聚享游,触玩斗地主,享玩,幻想小勇士,多游
195,水果武士,爱变现,水果联盟,聚享游,水果盛宴大狂欢,享玩,欢乐消水果,多游
196,水果武士,爱变现,勇者阿信,聚享游,梦幻水果,享玩,别吃鸡,多游
197,欢乐水果,爱变现,疯狂的拍打,聚享游,疯狂水果,享玩,触玩斗地主,多游
198,欢乐水果,爱变现,八向箭头,聚享游,功夫鸡,享玩,爱玩斗地主,多游
199,聚乐斗地主或美女斗地主,爱变现,爱玩斗地主,聚享游,梦幻水果,享玩,捕鱼来了街机版,多游
200,暴击联盟,爱变现,水果武士,聚享游,醉天下,享玩,幻想小勇士,多游
201,疯狂的拍打,爱变现,八向箭头,聚享游,勇者阿信,享玩,爱玩斗地主,多游
202,醉天下,爱变现,水果联盟,聚享游,疯狂水果城,享玩,别吃鸡,多游
203,疯狂水果城,爱变现,功夫鸡,聚享游,别吃鸡,享玩,全民捕鱼电玩城,多游
204,欢乐水果,爱变现,聚乐斗地主或美女斗地主,聚享游,梦幻水果,享玩,奇奇乐捕鱼,多游
205,聚乐斗地主或美女斗地主,爱变现,欢乐水果,聚享游,触玩斗地主,享玩,八向箭头,多游
206,天天捕鱼电玩版,爱变现,疯狂水果城,聚享游,水果武士,享玩,大富翁电玩捕鱼,多游
207,水果盛宴大狂欢,爱变现,八向箭头,聚享游,醉天下,享玩,水果联盟,多游
208,暴击联盟,爱变现,醉天下,聚享游,疯狂水果,享玩,全民捕鱼电玩城,多游
209,水果武士,爱变现,疯狂水果城,聚享游,醉天下,享玩,幻想小勇士,多游
210,水果盛宴大狂欢,爱变现,麻小宝,聚享游,幻想小勇士,享玩,聚乐斗地主或美女斗地主,多游
211,水果联盟,爱变现,欢乐水果,聚享游,聚乐斗地主或美女斗地主,享玩,别吃鸡,多游
212,触玩斗地主,爱变现,疯狂的拍打,聚享游,水果盛宴大狂欢,享玩,八向箭头,多游
213,水果联盟,爱变现,欢乐消水果,聚享游,爱玩斗地主,享玩,暴击联盟,多游
214,水果联盟,爱变现,西游战记,聚享游,醉天下,享玩,红心斗地主,多游
215,触玩斗地主,爱变现,勇者阿信,聚享游,梦幻水果,享玩,水果联盟,多游
216,欢乐消水果,爱变现,疯狂水果城,聚享游,小猪酷跑,享玩,聚乐斗地主或美女斗地主,多游
217,红心斗地主,爱变现,聚乐斗地主或美女斗地主,聚享游,水果武士,享玩,西游战记,多游
218,水果盛宴大狂欢,爱变现,醉天下,聚享游,欢乐水果,享玩,大富翁电玩捕鱼,多游
219,奇奇乐捕鱼,爱变现,西游战记,聚享游,水果盛宴大狂欢,享玩,聚乐斗地主或美女斗地主,多游
220,欢乐消水果,爱变现,麻小宝,聚享游,疯狂水果城,享玩,奇奇乐捕鱼,多游
221,6677捕鱼,爱变现,天天捕鱼电玩版,聚享游,梦幻水果,享玩,奇奇乐捕鱼,多游
222,疯狂水果,爱变现,爱玩斗地主,聚享游,八向箭头,享玩,欢乐水果,多游
223,红心斗地主,爱变现,奇奇乐捕鱼,聚享游,特工使命,享玩,梦幻千炮捕鱼,多游
224,疯狂水果城,爱变现,爱玩斗地主,聚享游,疯狂水果,享玩,奇奇乐捕鱼,多游
225,天天捕鱼电玩版,爱变现,水果联盟,聚享游,特工使命,享玩,疯狂水果,多游
