用户id,游戏1,平台1,游戏2,平台2,游戏3,平台3,游戏4,平台4,游戏5,平台5,游戏6,平台6,游戏7,平台7,游戏8,平台8
421,暴击联盟,爱变现,幻想小勇士,聚享游,醉天下,享玩,欢乐消水果,多游
422,触玩斗地主,爱变现,聚乐斗地主或美女斗地主,聚享游,暴击联盟,多游,功夫鸡,享玩
423,暴击联盟,爱变现,奇奇乐捕鱼,聚享游,疯狂水果城,多游,天天捕鱼电玩版,享玩
424,梦幻水果,爱变现,疯狂水果,聚享游,疯狂的拍打,多游,暴击联盟,享玩
425,水果武士,爱变现,勇者阿信,聚享游,欢乐消水果,多游,功夫鸡,享玩
426,勇者阿信,爱变现,水果武士,聚享游,别吃鸡,多游,小猪酷跑,享玩
427,水果武士,爱变现,爱玩斗地主,聚享游,小猪酷跑,多游,疯狂水果,享玩
428,醉天下,爱变现,幻想小勇士,聚享游,捕鱼来了街机版,多游,麻小宝,享玩
429,水果武士,爱变现,暴击联盟,聚享游,疯狂的拍打,多游,红心斗地主,享玩
430,疯狂水果城,爱变现,西游战记,聚享游,爱玩斗地主,多游,小猪酷跑,享玩
431,水果联盟,爱变现,勇者阿信,聚享游,别吃鸡,多游,梦幻千炮捕鱼,享玩
432,勇者阿信,爱变现,欢乐消水果,聚享游,水果联盟,多游,疯狂水果城,享玩
433,勇者阿信,爱变现,欢乐消水果,聚享游,触玩斗地主,多游,八向箭头,享玩
434,欢乐水果,爱变现,聚乐斗地主或美女斗地主,聚享游,疯狂的拍打,多游,勇者阿信,享玩
435,疯狂的拍打,爱变现,水果盛宴大狂欢,聚享游,西游战记,多游,梦幻千炮捕鱼,享玩
436,奇奇乐捕鱼,爱变现,欢乐消水果,聚享游,特工使命,多游,梦幻水果,享玩
437,6677捕鱼,爱变现,西游战记,聚享游,梦幻千炮捕鱼,多游,欢乐消水果,享玩
438,暴击联盟,爱变现,西游战记,聚享游,八向箭头,多游,特工使命,享玩
439,欢乐消水果,爱变现,疯狂水果,聚享游,6677捕鱼,多游,水果联盟,享玩
440,聚乐斗地主或美女斗地主,爱变现,欢乐水果,聚享游,小猪酷跑,多游,幻想小勇士,享玩
441,暴击联盟,爱变现,功夫鸡,聚享游,醉天下,多游,爱玩斗地主,享玩
442,欢乐消水果,爱变现,功夫鸡,聚享游,疯狂水果,多游,欢乐水果,享玩
443,水果联盟,爱变现,水果武士,聚享游,功夫鸡,多游,欢乐水果,享玩
444,天天捕鱼电玩版,爱变现,爱玩斗地主,聚享游,聚乐斗地主或美女斗地主,多游,麻小宝,享玩
445,勇者阿信,爱变现,水果盛宴大狂欢,聚享游,八向箭头,多游,别吃鸡,享玩
446,聚乐斗地主或美女斗地主,爱变现,疯狂水果城,聚享游,幻想小勇士,多游,勇者阿信,享玩
447,欢乐消水果,聚享游,聚乐斗地主或美女斗地主,爱变现,6677捕鱼,多游,暴击联盟,享玩
448,聚乐斗地主或美女斗地主,聚享游,勇者阿信,爱变现,欢乐消水果,多游,欢乐水果,享玩
